id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
2170001,1,49,2017,5,2,1,10,1,1,75,1
2170002,2,45,2017,5,2,1,6,1,1,75,1
2170003,2,21,2017,5,1,1,1,2,1,45,1
2180002,2,50,2017,4,2,1,1,2,1,55,2
2180003,2,25,2017,5,1,2,5,1,1,78,1
2190001,1,42,2017,5,2,1,8,1,1,42,1
2190002,2,38,2017,5,2,1,1,2,1,38,1
2200002,2,61,2017,4,2,2,1,2,1,38,3
2220002,2,57,2017,4,2,2,1,2,1,38,3
2220003,2,24,2017,5,1,2,6,1,1,52,1
2230002,1,45,2017,5,1,2,7,1,1,58,3
2250001,1,49,2017,5,2,1,12,1,1,63,1
2250002,2,44,2017,4,2,1,1,2,1,38,1
2250003,1,16,2017,4,1,2,1,2,1,34,1
2250004,2,14,2017,3,1,2,1,2,1,32,1
2260001,1,43,2017,5,2,2,9,1,1,62,1
2260002,2,42,2017,5,2,1,1,2,1,48,1
2270001,1,64,2017,4,2,1,7,1,1,53,2
2270002,2,58,2017,4,2,2,4,1,1,53,2
2270003,2,34,2017,5,1,1,7,1,1,59,2
2270004,2,30,2017,5,1,1,5,1,1,62,3
2290001,1,40,2017,6,2,1,11,1,1,63,1
2290002,2,39,2017,6,2,1,1,2,1,43,1
2300001,1,48,2017,5,2,2,13,1,1,54,1
2300002,2,48,2017,5,2,1,1,2,1,48,1
2300005,1,18,2017,4,1,2,1,2,1,42,1
2310001,1,51,2017,5,2,1,16,1,1,48,2
2310002,2,51,2017,5,2,1,5,1,1,65,3
2310003,2,27,2017,5,1,1,1,2,1,64,3
2310004,1,23,2017,5,1,1,2,2,1,60,3
2320001,1,53,2017,6,2,2,14,1,1,63,3
2320002,2,53,2017,5,2,2,1,2,1,56,3
2320004,1,23,2017,5,1,2,1,2,1,58,3
2320003,1,25,2017,5,1,2,1,2,1,64,3
2330003,2,49,2017,4,1,2,6,1,1,48,1
2340001,1,39,2017,5,2,1,9,1,8,65,1
2340002,2,39,2017,5,2,1,1,2,8,38,3
2350001,1,40,2017,5,2,2,7,1,8,55,1
2350002,2,43,2017,4,2,2,1,2,8,69,1
2360001,1,42,2017,5,2,1,14,1,8,65,1
2360002,2,41,2017,4,2,1,5,1,8,65,1
2360003,2,14,2017,3,1,1,1,2,8,65,1
2360004,2,12,2017,2,1,1,1,2,8,65,1
2370001,1,41,2017,5,2,1,9,1,8,42,1
2370002,2,40,2017,5,2,1,3,1,8,36,1
2390001,1,51,2017,5,2,2,8,1,8,64,2
2400001,1,64,2017,3,2,2,5,1,8,35,1
2400002,2,63,2017,3,2,2,1,2,8,20,3
2410001,1,59,2017,5,2,2,1,2,8,42,3
2410002,2,52,2017,4,2,1,1,2,8,39,3
2410003,1,28,2017,5,1,2,5,1,8,100,3
2420001,1,58,2017,6,2,2,11,1,8,35,3
2420002,2,51,2017,6,2,1,6,1,8,34,3
2420004,1,20,2017,5,1,2,1,2,8,34,3
2430001,1,41,2017,4,2,2,9,1,8,70,2
2430002,2,41,2017,4,2,2,1,2,8,60,2
2430003,1,14,2017,3,1,2,1,2,8,35,2
2430004,2,11,2017,2,1,2,1,2,8,13,1
2440001,1,32,2017,5,2,2,8,1,8,90,3
2440002,2,32,2017,5,2,2,8,1,8,40,1
2440003,1,8,2017,2,1,2,1,2,8,35,1
2450001,1,42,2017,5,2,1,9,1,8,50,3
2450002,2,42,2017,4,2,1,1,2,8,40,3
2450003,2,15,2017,3,1,1,1,2,8,30,3
2450004,2,13,2017,3,1,1,1,2,8,30,3
2450005,1,12,2017,2,1,1,1,2,8,30,3
2460001,1,65,2017,3,2,2,5,1,8,32,1
2460002,2,61,2017,2,2,2,1,2,8,22,1
2470002,2,52,2017,4,2,2,1,2,8,70,1
2480001,1,56,2017,4,2,2,4,1,8,75,2
2500003,2,30,2017,5,1,2,6,1,4,45,1
2500101,2,30,2017,5,1,2,5,1,1,62,3
2530002,2,47,2017,4,2,1,6,1,8,60,2
2560002,2,61,2017,4,2,1,2,2,8,40,2
2590002,2,51,2017,4,2,1,1,2,8,65,1
2610001,1,67,2017,4,2,2,8,2,8,13,1
2610002,2,64,2017,4,2,2,6,2,8,17,3
2620001,1,42,2017,5,2,1,9,1,8,60,3
2620002,2,41,2017,5,2,1,5,1,8,45,3
2620003,1,13,2017,3,1,1,1,2,8,25,3
2620004,2,10,2017,2,1,1,1,2,8,25,3
2630001,1,45,2017,5,2,2,10,1,8,70,1
2630002,2,45,2017,5,2,1,6,1,8,50,3
2630003,2,12,2017,2,1,2,1,2,8,11,2
2640001,1,53,2017,5,2,2,7,1,8,50,1
2640002,2,48,2017,4,2,2,5,1,8,50,3
2640003,2,26,2017,5,1,1,5,1,8,85,3
2640004,2,24,2017,5,1,2,8,1,8,70,3
2650001,1,49,2017,4,2,1,8,1,8,30,1
2650002,2,45,2017,4,2,2,4,1,8,35,1
2650003,2,22,2017,5,1,2,1,2,8,75,1
2650004,1,20,2017,5,1,2,1,2,8,42,1
2670001,1,37,2017,5,2,2,8,1,8,70,1
2690001,1,57,2017,5,2,2,8,1,8,40,1
2690002,2,54,2017,4,2,1,1,2,8,40,1
2690003,1,29,2017,5,1,2,5,1,8,70,1
2690004,2,27,2017,5,1,1,5,1,8,50,1
2700001,1,64,2017,4,2,1,6,1,8,100,2
2700002,2,57,2017,4,2,1,1,2,8,50,1
2700003,1,24,2017,5,1,1,5,1,8,50,2
2710001,1,47,2017,5,2,1,6,1,8,50,1
2710002,2,44,2017,4,2,1,1,2,8,40,3
2710003,1,13,2017,3,1,2,1,2,8,15,3
2720001,1,43,2017,5,2,1,9,1,8,50,2
2720002,2,41,2017,5,2,1,1,2,8,50,1
2730001,1,40,2017,5,2,2,9,1,8,40,1
2730002,2,38,2017,5,2,2,1,2,8,38,1
2750001,1,56,2017,3,2,1,5,1,8,60,3
2750002,2,48,2017,4,2,1,1,2,8,40,3
2750003,1,25,2017,5,1,1,5,1,8,60,3
2750004,1,26,2017,4,1,1,5,1,8,50,3
2760001,1,52,2017,4,2,2,5,1,8,401,3
2760002,2,54,2017,4,2,2,1,2,8,40,3
2760003,1,23,2017,5,1,2,1,2,8,45,3
2760004,2,21,2017,5,1,1,5,1,8,50,3
2770001,1,40,2017,5,2,2,8,1,8,50,2
2770002,2,40,2017,4,2,2,1,2,8,40,2
2780001,1,59,2017,5,2,2,7,1,8,40,1
2780002,2,59,2017,4,2,2,1,2,8,40,1
2790002,1,54,2017,4,2,1,8,1,8,34,3
2810001,1,33,2017,5,2,2,9,1,8,55,1
2810002,2,30,2017,5,2,2,1,2,8,45,3
2820001,1,51,2017,4,2,1,12,1,8,45,3
2820003,1,22,2017,4,1,1,5,1,8,62,3
2830001,1,53,2017,5,2,2,9,1,8,50,3
2830002,2,52,2017,5,2,2,7,1,8,50,3
2840001,1,58,2017,4,2,2,12,1,8,50,1
2840002,2,55,2017,4,2,2,1,2,8,40,1
2850001,2,85,2017,2,3,2,2,2,5,36,1
2850002,1,45,2017,5,1,2,5,1,5,98,1
2870001,1,85,2017,2,2,2,2,2,5,45,2
2870002,2,82,2017,2,2,2,2,2,5,45,2
2890001,1,55,2017,4,2,2,6,1,5,75,3
2890002,2,50,2017,4,2,2,1,2,5,48,3
2890005,1,14,2017,3,1,2,1,2,5,48,3
2890006,1,10,2017,2,1,2,1,2,5,48,3
2930001,1,75,2017,3,2,2,1,2,5,42,1
2930002,2,73,2017,2,2,2,1,2,5,42,1
2930003,2,34,2017,5,1,2,5,1,5,45,1
2960001,1,48,2017,4,2,2,10,1,4,35,2
2960002,2,45,2017,4,2,2,4,1,4,51,1
2960004,1,18,2017,4,1,2,1,2,4,45,1
2960005,1,13,2017,3,1,2,1,2,4,40,3
2980001,1,47,2017,4,2,2,8,1,4,60,1
3000001,1,42,2017,5,2,2,7,1,4,50,1
3000002,2,42,2017,5,2,1,1,2,4,70,3
3000003,1,13,2017,3,1,1,1,2,4,34,3
3010002,2,54,2017,4,2,2,1,2,4,40,2
3010003,1,22,2017,5,1,2,1,2,4,50,2
